figure_id,title,format,path,bytes,sha256,source_data,generator,alt_text
DVP-017-F01,Publishing success rate by output channel,png,results/figures/17-publishing-success-rate.png,58415,088c975b3221142a274bf47142a5619f5eef4b19a88f2ff2d70087b992f5c851,data/processed/17-publishing-runs.csv,scripts/python/17_generate_governed_figures.py,"Horizontal bars show publishing success rates of 96 percent for Web, 91 percent for PDF, and 88 percent for Slides. Web has the highest rate."
DVP-017-F01,Publishing success rate by output channel,svg,results/figures/17-publishing-success-rate.svg,51223,0b5598757a5fb76edb49012660f4c026981b5f72612e819dc4a1597049b8edf8,data/processed/17-publishing-runs.csv,scripts/python/17_generate_governed_figures.py,"Horizontal bars show publishing success rates of 96 percent for Web, 91 percent for PDF, and 88 percent for Slides. Web has the highest rate."
